rank,wcaID1,name1,wcaID2,name2,attempt1,attempt2,attempt3,average,best
39,2018ADAM06,Brayden Adams,2018SCHE09,Ryan Schell,1:02.91,1:02.91,1:03.63,63.15,62.91
40,2022AGUA01,Alex Aguayo,2022RIPP01,Luke Ripperger,1:06.17,1:10.72,1:27.49,74.79,66.17
41,2022JOSH12,Andrew Joshua,2019BUSK01,Jared Buske-Fehrle,1:48.21,1:34.53,1:07.88,90.21,67.88
42,2020MOCO01,Conan Mo,2016CLIP01,Andrew Clippinger,1:08.29,DNF,DNF,DNF,68.29
43,2016IRIZ02,Ant Irizarry,2017GRAY02,Ashley Gray,1:23.95,1:28.35,1:08.88,80.39,68.88
44,2022WANG39,John Wanger II,2022SOLI03,Junior Solis,1:25.40,1:16.80,1:09.26,77.15,69.26
45,2016BITZ01,Carter Bitz,2017TIBB01,Ben Tibbetts,1:10.41,1:30.25,DNF,DNF,70.41
46,2022MORB01,Sebastian Morber,2021DILL03,Ellery Dillon,1:28.69,DNF,1:13.24,DNF,73.24
47,2022RAMI15,Ledger Ramirez,2015TRAC01,Catherine Trace,1:49.60,1:18.18,1:43.18,96.99,78.18
48,2022PEAC02,Easan Peacock,2022ROSS18,Alexander Rossi,2:00.19,1:42.71,1:22.55,101.82,82.55
49,2022CHOK02,Dev Choksi,2023HETT01,Oliver Hettrich,2:02.32,1:30.63,1:53.94,108.96,90.63
50,2017SANK04,Vishwa Sankar,,Kevin Min Nicolas Sanchez,1:37.30,1:43.79,1:37.64,99.58,97.30
51,2018SIMP06,Stone Simpson,2017LOCK02,Dean Lockett,2:22.47,1:47.35,1:37.76,115.86,97.76
52,2022AGRA04,Ekansh Agrawal,2022COLE10,Hunter Coleman,DNF,1:59.84,DNF,DNF,119.84
53,2023OWEN05,Aiden Owens,2022PSZE01,Daniel Pszenny,2:19.33,2:12.63,2:08.51,133.49,128.51
